Country,Region,ISO3,World Bank Country Name,Observation Period,Unit of Analysis,Population Scope,Income Definition,Currency,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (PPP Monthly),Housing and Utilities Component (PPP Monthly),Income Index (Mean Proxy),LMI (Mean Proxy),Income Index,LMI,LMI Construction,Median-Citizen Income Proxy (Monthly PPP),Median-Citizen LMI (Decile Proxy),Median-Citizen Multiplier (Decile Proxy),Share Below Baseline (Decile Approx),Share At or Above 1x Baseline (Decile Approx),Share At or Above 2x Baseline (Decile Approx),Share At or Above 5x Baseline (Decile Approx),Distribution Data Year (Deciles),Baseline Method,Source - Actual Income,Source URL - Actual Income,Source - Food,Source URL - Food,Source - Share Ratios,Source URL - Share Ratios,Source - Distribution,Source URL - Distribution,Computed At (UTC)
Qatar,Qatar,QAT,Qatar,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,9883.333333,monthly,187.331106,monthly,76.702500,110.628606,52.758634,51.758634,47.218978,46.218978,median-citizen decile proxy,8845.583333,46.218978,47.218978,0.000000,1.000000,1.000000,1.000000,2017,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Singapore,Singapore,SGP,Singapore,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,9535.833333,monthly,246.057921,monthly,100.748125,145.309796,38.754425,37.754425,38.754425,37.754425,mean-income proxy fallback,,,,,,,,,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Ireland,Ireland,IRL,Ireland,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,7900.000000,monthly,187.331106,monthly,76.702500,110.628606,42.171320,41.171320,37.901474,36.901474,median-citizen decile proxy,7100.125000,36.901474,37.901474,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Norway,Norway,NOR,Norway,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,10467.500000,monthly,295.864207,monthly,121.141250,174.722957,35.379406,34.379406,32.947072,31.947072,median-citizen decile proxy,9747.859375,31.947072,32.947072,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Luxembourg,Luxembourg,LUX,Luxembourg,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,7922.500000,monthly,219.296334,monthly,89.790625,129.505709,36.126915,35.126915,32.288430,31.288430,median-citizen decile proxy,7080.734375,31.288430,32.288430,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Switzerland,Switzerland,CHE,Switzerland,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,7654.166667,monthly,211.119183,monthly,86.442500,124.676683,36.255193,35.255193,31.949889,30.949889,median-citizen decile proxy,6745.234375,30.949889,31.949889,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Bermuda,Bermuda,BMU,Bermuda,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,9233.333333,monthly,294.377452,monthly,120.532500,173.844952,31.365627,30.365627,31.365627,30.365627,mean-income proxy fallback,,,,,,,,,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Denmark,Denmark,DNK,Denmark,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6785.000000,monthly,202.198654,monthly,82.790000,119.408654,33.556109,32.556109,30.158553,29.158553,median-citizen decile proxy,6098.018750,29.158553,30.158553,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Belgium,Belgium,BEL,Belgium,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5827.500000,monthly,185.100974,monthly,75.789375,109.311599,31.482817,30.482817,29.121605,28.121605,median-citizen decile proxy,5390.437500,28.121605,29.121605,0.000000,1.000000,1.000000,1.000000,2022,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6039.166667,monthly,213.349315,monthly,87.355625,125.993690,28.306473,27.306473,28.306473,27.306473,mean-income proxy fallback,,,,,,,,,"Cost-of-living baseline: food + housing/utilities, where housing/utilities is scaled from food using OECD share ratios.",World Bank WDI NY.GNP.PCAP.PP.CD,https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.PP.CD?format=json&date=2022:2022&per_page=20000,FAO CoAHD item 70040,https://api.data.apps.fao.org/api/v2/bigquery?sql_url=https://data.apps.fao.org/catalog/dataset/bc84bd3e-4c98-46ae-b964-21e93f3f5e87/resource/5656e46c-5b76-4786-b7ae-e37862abc252/download/cost-affordabilty-healthy-diet-cahd-query.sql&item_code=70040&download=true,"OECD household expenditure shares (food 15.6%, housing+utilities 22.5%)",https://data.oecd.org/hha/household-spending.htm,World Bank WDI income shares: bottom 10% and top 10% (latest <= target year); middle deciles reconstructed by equal-split assumption.,https://api.worldbank.org/v2/country/all/indicator/SI.DST.FRST.10?format=json&date=2000:2022&per_page=30000 ; https://api.worldbank.org/v2/country/all/indicator/SI.DST.10TH.10?format=json&date=2000:2022&per_page=30000,2026-03-17T09:42:57Z
