Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Input Mode,Currency,Gross Minimum Wage Monthly,Estimated Tax Wedge Percent,Net Conversion Factor,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (Monthly Per-Capita LCU),Housing+Utilities Component (Monthly Per-Capita LCU),Average Household Size,Minimum Wage Unit,Minimum Wage Monthly After Tax Low,Minimum Wage Monthly After Tax High,Minimum Cost of Living Monthly Low,Minimum Cost of Living Monthly High,Income Index,LMI,Income Index Low,Income Index High,LMI Low,LMI High,Baseline Method,Calibration Notes,Source - Baseline Components,Source URL - Baseline Components,Source - Income,Source URL - Income,Source - Population,Source URL - Population,Computed At (UTC)
New Zealand,New Zealand,NZL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,3674.670000,20.136624,0.798634,2934.715519,monthly,3690.628464,monthly,459.737883,959.734603,2.600000,LCU,2934.715519,2934.715519,3690.628464,3690.628464,0.795180,-0.204820,0.795180,0.795180,-0.204820,-0.204820,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7986.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Netherlands,Netherlands,NLD,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1756.200000,35.483519,0.645165,1133.038439,monthly,1490.521119,monthly,222.063951,446.331170,2.230000,LCU,1133.038439,1133.038439,1490.521119,1490.521119,0.760163,-0.239837,0.760163,0.760163,-0.239837,-0.239837,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6452.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Australia,Australia,AUS,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,3520.570000,26.896167,0.731038,2573.671613,monthly,3459.477313,monthly,409.387917,947.269852,2.550000,LCU,2573.671613,2573.671613,3459.477313,3459.477313,0.743948,-0.256052,0.743948,0.743948,-0.256052,-0.256052,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7310.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
United Kingdom,United Kingdom,GBR,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1574.250000,31.548899,0.684511,1077.591457,monthly,1537.852482,monthly,158.775122,495.630190,2.350000,LCU,1077.591457,1077.591457,1537.852482,1537.852482,0.700712,-0.299288,0.700712,0.700712,-0.299288,-0.299288,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6845.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Canada,Canada,CAN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,2470.000000,31.862935,0.681371,1682.985506,monthly,2685.753709,monthly,306.869485,789.356519,2.450000,LCU,1682.985506,1682.985506,2685.753709,2685.753709,0.626634,-0.373366,0.626634,0.626634,-0.373366,-0.373366,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6814.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Germany,Germany,DEU,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1739.000000,47.847842,0.521522,906.926028,monthly,1453.705730,monthly,216.761530,462.540213,2.140000,LCU,906.926028,906.926028,1453.705730,1453.705730,0.623872,-0.376128,0.623872,0.623872,-0.376128,-0.376128,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5215.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Slovenia,Slovenia,SVN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1074.430000,42.796660,0.572033,614.609846,monthly,1013.683431,monthly,174.659040,235.739110,2.470000,LCU,614.609846,614.609846,1013.683431,1013.683431,0.606313,-0.393687,0.606313,0.606313,-0.393687,-0.393687,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5720.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Ireland,Ireland,IRL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1774.500000,34.720260,0.652797,1158.388986,monthly,1946.602022,monthly,169.923659,517.921579,2.830000,LCU,1158.388986,1158.388986,1946.602022,1946.602022,0.595083,-0.404917,0.595083,0.595083,-0.404917,-0.404917,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6528.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
France,France,FRA,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1645.580000,46.997952,0.530020,872.191101,monthly,1476.367921,monthly,223.535793,441.494802,2.220000,LCU,872.191101,872.191101,1476.367921,1476.367921,0.590768,-0.409232,0.590768,0.590768,-0.409232,-0.409232,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5300.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Japan,Japan,JPN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,166573.330000,32.649266,0.673507,112188.360403,monthly,192798.012287,monthly,32135.533961,50610.394060,2.330000,LCU,112188.360403,112188.360403,192798.012287,192798.012287,0.581896,-0.418104,0.581896,0.581896,-0.418104,-0.418104,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6735.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
