Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Currency,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (PPP Monthly),Housing and Utilities Component (PPP Monthly),Transport Component (PPP Monthly),Healthcare Component (PPP Monthly),Contingency Rate,Contingency Amount (PPP Monthly),Income Index,LMI,Baseline Method,Source - Actual Income,Source - Healthcare,Source - Food,Source - Share Ratios,Computed At (UTC)
Australia,Australia,AUS,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5292.500000,monthly,946.806837,monthly,87.660000,126.432692,68.554615,594.025690,0.0800,70.133840,5.589841,4.589841,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Austria,Austria,AUT,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6032.500000,monthly,1011.100159,monthly,83.703125,120.725661,65.460136,666.314928,0.0800,74.896308,5.966273,4.966273,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Belgium,Belgium,BEL,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5827.500000,monthly,926.270160,monthly,75.789375,109.311599,59.271178,613.285404,0.0800,68.612604,6.291361,5.291361,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Canada,Canada,CAN,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5253.333333,monthly,1051.436022,monthly,119.315000,172.088942,93.310449,588.837481,0.0800,77.884150,4.996341,3.996341,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Switzerland,Switzerland,CHE,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,7654.166667,monthly,1252.755020,monthly,86.442500,124.676683,67.602468,881.236701,0.0800,92.796668,6.109867,5.109867,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Germany,Germany,DEU,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5962.500000,monthly,1137.482901,monthly,107.748750,155.406851,84.265048,705.804259,0.0800,84.257993,5.241837,4.241837,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Denmark,Denmark,DNK,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6785.000000,monthly,948.284737,monthly,82.790000,119.408654,64.746026,611.096744,0.0800,70.243314,7.155024,6.155024,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Spain,Spain,ESP,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4301.666667,monthly,802.822359,monthly,103.487500,149.260817,80.932532,409.673187,0.0800,59.468323,5.358180,4.358180,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Finland,Finland,FIN,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5224.166667,monthly,881.055732,monthly,98.921875,142.675781,77.361979,496.832709,0.0800,65.263388,5.929440,4.929440,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
France,France,FRA,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4885.833333,monthly,949.764447,monthly,101.052500,145.748798,79.028237,553.581990,0.0800,70.352922,5.144258,4.144258,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
