Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Currency,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (Monthly Per-Capita LCU),Housing+Utilities Component (Monthly Per-Capita LCU),Total Household Consumption (Monthly Per-Capita LCU),Income Index (Mean Proxy),LMI (Mean Proxy),Income Index,LMI,LMI Construction,Median-Citizen Multiplier (Decile Proxy),Share Below Baseline (Decile Approx),Share At or Above 1x Baseline (Decile Approx),Share At or Above 2x Baseline (Decile Approx),Share At or Above 5x Baseline (Decile Approx),Distribution Data Year (Deciles),Baseline Method,OECD Monetary Scale Applied,Source - Baseline Components,Source URL - Baseline Components,Source - Income Proxy,Source URL - Income Proxy,Source - Population,Source URL - Population,Source - Distribution,Source URL - Distribution,Computed At (UTC)
United States,United States,USA,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,4269.437772,monthly,1079.990899,monthly,294.856964,785.133934,4269.437772,3.953216,2.953216,3.350351,2.350351,median-citizen decile proxy,3.350351,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Luxembourg,Luxembourg,LUX,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,3234.226454,monthly,998.056458,monthly,309.544589,688.511868,3234.226454,3.240525,2.240525,2.896219,1.896219,median-citizen decile proxy,2.896219,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Slovenia,Slovenia,SVN,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1250.316868,monthly,410.398150,monthly,174.659040,235.739110,1250.316868,3.046595,2.046595,2.859991,1.859991,median-citizen decile proxy,2.859991,0.000000,1.000000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Netherlands,Netherlands,NLD,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,2013.861905,monthly,668.395121,monthly,222.063951,446.331170,2013.861905,3.012981,2.012981,2.824670,1.824670,median-citizen decile proxy,2.824670,0.000000,1.000000,0.900000,0.100000,2021,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Australia,Australia,AUS,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,4170.119149,monthly,1356.657770,monthly,409.387917,947.269852,4170.119149,3.073818,2.073818,2.758752,1.758752,median-citizen decile proxy,2.758752,0.100000,0.900000,0.900000,0.100000,2020,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Norway,Norway,NOR,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,25105.945552,monthly,8616.392838,monthly,2861.533184,5754.859654,25105.945552,2.913742,1.913742,2.713422,1.713422,median-citizen decile proxy,2.713422,0.000000,1.000000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Canada,Canada,CAN,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,3252.263492,monthly,1096.226004,monthly,306.869485,789.356519,3252.263492,2.966782,1.966782,2.692355,1.692355,median-citizen decile proxy,2.692355,0.100000,0.900000,0.900000,0.100000,2021,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Austria,Austria,AUT,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,2082.480586,monthly,709.134022,monthly,207.959908,501.174114,2082.480586,2.936653,1.936653,2.665013,1.665013,median-citizen decile proxy,2.665013,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Iceland,Iceland,ISL,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,434587.106864,monthly,152592.660922,monthly,54489.496592,98103.164329,434587.106864,2.848021,1.848021,2.630859,1.630859,median-citizen decile proxy,2.630859,0.000000,1.000000,0.900000,0.100000,2019,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
New Zealand,New Zealand,NZL,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,3733.855468,monthly,1419.472486,monthly,459.737883,959.734603,3733.855468,2.630453,1.630453,2.630453,1.630453,mean-income proxy fallback,,,,,,,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
